标题： 想重温一遍，谁有前10季的百度云啊 	 链接：http://tieba.baidu.com//p/5934595896 	 发帖人：蓉蓉包子脸 	 发帖时间：11-2 	 回复数量： 2 
标题： 第一时间以为是演傻子的郭晋安 	 链接：http://tieba.baidu.com//p/5929725887 	 发帖人：91夯昆哥 	 发帖时间：10-28 	 回复数量： 4 
标题： 偶然找到了Amy的几张年轻美图 	 链接：http://tieba.baidu.com//p/5666679771 	 发帖人：专掐祖国... 	 发帖时间：4-25 	 回复数量： 7 
标题： 请问生活大爆炸前11季中，每一集的英文标题是什么？ 	 链接：http://tieba.baidu.com//p/5935080955 	 发帖人：天卦789 	 发帖时间：11-2 	 回复数量： 0 
标题： 求问大家 	 链接：http://tieba.baidu.com//p/5934903056 	 发帖人：liululu5824 	 发帖时间：11-2 	 回复数量： 1 
标题： 看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：http://tieba.baidu.com//p/3841146050 	 发帖人：火山冰点 	 发帖时间：2015-06 	 回复数量： 67 
标题： 霍华德在医院里给伯纳黛特唱的歌叫什么？？？ 	 链接：http://tieba.baidu.com//p/5506886050 	 发帖人：丶灰熊猫 	 发帖时间：1-7 	 回复数量： 4 
标题： 我记得《TBBT》里有一集谢尔顿好像坐火车独自去一个地方，然 	 链接：http://tieba.baidu.com//p/5923223506 	 发帖人：回家吧小黑 	 发帖时间：10-23 	 回复数量： 7 
标题： Amy的母亲 	 链接：http://tieba.baidu.com//p/5718980330 	 发帖人：登峰造极... 	 发帖时间：5-27 	 回复数量： 31 
标题： 十一季末肯定是penny怀孕 	 链接：http://tieba.baidu.com//p/5480888954 	 发帖人：bfhunter 	 发帖时间：2017-12 	 回复数量： 6 
标题： 快来看看这是你们谁的爱豆 	 链接：http://tieba.baidu.com//p/5934729640 	 发帖人：鹿兴啊 	 发帖时间：11-2 	 回复数量： 0 
标题： 真想不到，自信起来的拉杰这么酷，简直开挂呀 	 链接：http://tieba.baidu.com//p/5916180928 	 发帖人：铃予g 	 发帖时间：10-16 	 回复数量： 4 
标题： soft kitty 	 链接：http://tieba.baidu.com//p/5924195050 	 发帖人：你野狗道... 	 发帖时间：10-23 	 回复数量： 4 
